question,Matched Article Title,context,answer
Apa yang boleh dilakukan di kuala lumpur?,kuala lumpur,"Kuala Lumpur sebut dalam loghat tempat Kolumpo , Jawi , singkat KL atau nama penuh Wilayah Sekutu Kuala Lumpur , ialah ibu negara dan bandar raya besar di Malaysia . Kuala Lumpur liput kawasan luas 244 km2 94 bt2 , duduk 2 16 juta orang ikut banci tahun 2022 . Lebih kurang 50 atus duduk ialah Bumiputera , manakala 45 atus ialah Cina dan 5 atus ialah India . Kuala Lumpur golong dalam buah kawasan metropolitan besar yang turut liput sebahagian besar negeri Selangor , iaitu Lembah Klang , buah kelompok bandar yang duduk 8 9 juta orang , dan juga kawasan metropolitan yang paling pesat bangun di Asia Tenggara dari segi bilang duduk dan ekonomi . Lembah Klang juga adalah sebahagian daripada rantau metropolitan yang lebih besar yang nali bagai Kuala Lumpur Raya . Kuala Lumpur tempat Parlimen Malaysia , dan juga pernah jadi lokasi cabang eksekutif dan hakim raja sekutu yang kini tapak di Putrajaya sejak tahun 1999 . Namun begitu , dapat beberapa cawangan hakim yang kekal di ibu kota ini . Kuala Lumpur juga tempat diam rasmi bagi Ketua Negara Malaysia , Yang di-pertuan Agong iaitu Istana Negara . Bandar raya ini juga rupa pusat budaya , lancong , didik , undang dan ekonomi Malaysia kerana duduk selaku ibu negara dan bandar raya primat . Kuala Lumpur taraf bagai bandar raya dunia alfa , dan juga satu bandar raya global di Malaysia , turut Globalization and World Cities Study Group and Network gawc . Kuala Lumpur rupa salah satu daripada tiga buah Wilayah Sekutu Malaysia , dan juga buah enklaf dalam negeri Selangor , di pantai barat tengah Semenanjung Malaysia . Semenjak 1990 - an , bandar raya ini jadi tuan rumah kepada bilang acara sukan , politik dan budaya , masuk Sukan Komanwel 1998 , Sukan Asia Tenggara 2017 dan Johan Dunia Formula Satu . Selain itu , di bandar ini juga diri bangun dua tinggi di dunia dan pertama di Asia Tenggara iaitu Menara Merdeka 118 dan yang paling kenal ialah menara kembar tinggi di dunia iaitu Menara Kembar Petronas . Kuala Lumpur hubung dengan negara dan kawasan lain oleh dua buah lapang terbang , iaitu Lapang Terbang Antarabangsa Kuala Lumpur KLIA di Sepang dan Lapang Terbang Sultan Abdul Aziz Shah yang kini hanya sedia terbang domestik . Kuala Lumpur juga dapat hubung dengan kawasan bandar yang dekat seperti Petaling Jaya lalu Sistem Transit Padu Lembah Klang . Duduk bandar ini boleh unjung kawasan lain di Semenanjung dengan khidmat rel lalu Kuala Lumpur Sentral . Etimologi Kuala Lumpur percaya nama sempena dengan Sungai Lumpur , di mana pada tahun 1820 - an , satu kawasan nama Sungai Lumpoor kata rupa pusat keluar bijih timah penting di Sungai Klang . Dapat juga dapat lain yang nyata bahawa Kuala Lumpur asal nama Pengkal Lumpur , sama seperti Klang yang pernah gelar Pengkal Batu . Namun nama ini ubah kepada Kuala Lumpur . Dapat lain kata bahawa nama Kuala Lumpur asal daripada kata Kantonis , lam-pa , yang maksud hutan banjir atau hutan reput . Namun , tiada dapat","Bersiar-siar di taman bandar seperti Taman KLCC dan Taman Botani Perdana, melawat muzium, tempat bersejarah, dan mengambil gambar di mercu tanda utama."
Apa yang menarik di kuala lumpur?,kuala lumpur,"Kuala Lumpur sebut dalam loghat tempat Kolumpo , Jawi , singkat KL atau nama penuh Wilayah Sekutu Kuala Lumpur , ialah ibu negara dan bandar raya besar di Malaysia . Kuala Lumpur liput kawasan luas 244 km2 94 bt2 , duduk 2 16 juta orang ikut banci tahun 2022 . Lebih kurang 50 atus duduk ialah Bumiputera , manakala 45 atus ialah Cina dan 5 atus ialah India . Kuala Lumpur golong dalam buah kawasan metropolitan besar yang turut liput sebahagian besar negeri Selangor , iaitu Lembah Klang , buah kelompok bandar yang duduk 8 9 juta orang , dan juga kawasan metropolitan yang paling pesat bangun di Asia Tenggara dari segi bilang duduk dan ekonomi . Lembah Klang juga adalah sebahagian daripada rantau metropolitan yang lebih besar yang nali bagai Kuala Lumpur Raya . Kuala Lumpur tempat Parlimen Malaysia , dan juga pernah jadi lokasi cabang eksekutif dan hakim raja sekutu yang kini tapak di Putrajaya sejak tahun 1999 . Namun begitu , dapat beberapa cawangan hakim yang kekal di ibu kota ini . Kuala Lumpur juga tempat diam rasmi bagi Ketua Negara Malaysia , Yang di-pertuan Agong iaitu Istana Negara . Bandar raya ini juga rupa pusat budaya , lancong , didik , undang dan ekonomi Malaysia kerana duduk selaku ibu negara dan bandar raya primat . Kuala Lumpur taraf bagai bandar raya dunia alfa , dan juga satu bandar raya global di Malaysia , turut Globalization and World Cities Study Group and Network gawc . Kuala Lumpur rupa salah satu daripada tiga buah Wilayah Sekutu Malaysia , dan juga buah enklaf dalam negeri Selangor , di pantai barat tengah Semenanjung Malaysia . Semenjak 1990 - an , bandar raya ini jadi tuan rumah kepada bilang acara sukan , politik dan budaya , masuk Sukan Komanwel 1998 , Sukan Asia Tenggara 2017 dan Johan Dunia Formula Satu . Selain itu , di bandar ini juga diri bangun dua tinggi di dunia dan pertama di Asia Tenggara iaitu Menara Merdeka 118 dan yang paling kenal ialah menara kembar tinggi di dunia iaitu Menara Kembar Petronas . Kuala Lumpur hubung dengan negara dan kawasan lain oleh dua buah lapang terbang , iaitu Lapang Terbang Antarabangsa Kuala Lumpur KLIA di Sepang dan Lapang Terbang Sultan Abdul Aziz Shah yang kini hanya sedia terbang domestik . Kuala Lumpur juga dapat hubung dengan kawasan bandar yang dekat seperti Petaling Jaya lalu Sistem Transit Padu Lembah Klang . Duduk bandar ini boleh unjung kawasan lain di Semenanjung dengan khidmat rel lalu Kuala Lumpur Sentral . Etimologi Kuala Lumpur percaya nama sempena dengan Sungai Lumpur , di mana pada tahun 1820 - an , satu kawasan nama Sungai Lumpoor kata rupa pusat keluar bijih timah penting di Sungai Klang . Dapat juga dapat lain yang nyata bahawa Kuala Lumpur asal nama Pengkal Lumpur , sama seperti Klang yang pernah gelar Pengkal Batu . Namun nama ini ubah kepada Kuala Lumpur . Dapat lain kata bahawa nama Kuala Lumpur asal daripada kata Kantonis , lam-pa , yang maksud hutan banjir atau hutan reput . Namun , tiada dapat","Kepelbagaian budaya, senibina moden dan bersejarah, bangunan pencakar langit seperti Menara Merdeka 118, serta pelbagai aktiviti hiburan dan seni."
Mengapa kuil kek lok si menjadi tempat tarikan pelancong?,kuil kek lok si,"Kuil Kek Lok Si rupa kuil Agama Buddha yang letak di Ayer Itam , Pulau Pinang , Malaysia . Ia rupa kuil Buddha besar di Malaysia dan salah satu yang paling penting di Asia Tenggara . Kuil ini jadi tumpu utama masa raya Tahun Baru Cina apabila seluruh kompleks rang oleh ribu tanglung , dan lawat banjir kawasan sehingga larut malam . Nama Kek Lok Si maksud Kuil Bahagia Tinggi dalam dialek Hokkien . Kek Lok bawa maksud gembira murni , iaitu terjemah konsep Sukhvat dalam Buddhisme Mahayana tanah suci Buddha Amitabha . Ia juga pernah nali bagai Temple of Supreme Bliss , Temple of Pure Land , dan Heavenly Temple oleh lawat dan kaji luar negara . Sejarah Kuil ini asas pada tahun 1890 oleh Beow Lean , orang sami alir Chan dari Kuil Yongquan di Gunung Drum , Fuzhou , China . Tapak bina di Ayer Itam pilih kerana indah bentuk muka bumi serta lokasi yang hadap laut . Kawasan itu turut nali bagai Gunung Bangau kerana bentuk rupa burung bangau terbang . Kuil ini tubuh bagai cawangan luar negara rasmi kepada Kuil Yongquan anggap bagai Vatikan Buddha bagi alir Chan di Asia Tenggara . Bina kompleks biaya oleh lima hartawan Hakka muka iaitu Cheong Fatt Tze , Chang Yu Nan , Cheah Choon Seng , Tye Kee Yoon dan Chung Keng Kooi . Mereka turut lantik bagai naung utama projek kuil . Pada tahun 1904 , Maharaja Guangxu dari Dinasti Qing jemput Beow Lean ke istana dan hadiah 70 000 jilid kitab suci serta dua jubah kaisar . Baginda turut iktiraf Kek Lok Si bagai kuil utama Cina di negeri Selat . Pulang Beow Lean ke Pulau Pinang , beliau sambut dalam satu ara diraja dengan iring sami , pegawai dan masyarakat tempat . Bina Bangun Kuil Kek Lok Si letak di kaki bukit Air Itam , kira 3 kilometer dari Stesen Kereta Api Bukit Bendera . Ia bina di atas kawasan luas 12 1 hektar 30 ekar , hasil sumbang tanah oleh Yeoh Siew Beow . Kompleks ini diri daripada dewan sembahyang utama , pagoda , pavilion , kolam , taman , dan biara tempat tinggal para sami dan biarawati . Banyak unjung pasuk kompleks ini lalu lalu tangga yang naung bumbung , dengan deret kedai jual cenderamata dan barangan agama . Lawat akan lewat Kolam Bebas yang penuh penyu tradisi lepas penyu di sini percaya bawa pahala dalam ajar Buddha . Pekarang Pekarang kuil tempat taman kolam besar yang huni ikan kap dan kura . Dapat juga deret patung dewa-dewi , masuk Amitabha , Bodhisattva , dan Jaga Syurga Heavenly Kings dari tradisi Mahayana . Pagoda 10 000 Buddha Salah satu struktur paling ikonik di Kek Lok Si ialah Pagoda Ban Po Thar setinggi 30 meter . Ia nali bagai Pagoda 10 000 Buddha kerana kandung ribu patung kecil Buddha yang buat daripada gangsa dan batu pualam . Pagoda ini reka dengan tiga gaya seni bina Bahagian bawah bentuk oktagon Cina Tingkat tengah gaya Thai putih Kubah puncak stupa lap gaya Burma Pagoda ini bina antara 1915",Tapak bina di Ayer Itam pilih kerana indah bentuk muka bumi serta lokasi yang hadap laut.
Apa yang menarik di kuil kek lok si?,kuil kek lok si,"Kuil Kek Lok Si rupa kuil Agama Buddha yang letak di Ayer Itam , Pulau Pinang , Malaysia . Ia rupa kuil Buddha besar di Malaysia dan salah satu yang paling penting di Asia Tenggara . Kuil ini jadi tumpu utama masa raya Tahun Baru Cina apabila seluruh kompleks rang oleh ribu tanglung , dan lawat banjir kawasan sehingga larut malam . Nama Kek Lok Si maksud Kuil Bahagia Tinggi dalam dialek Hokkien . Kek Lok bawa maksud gembira murni , iaitu terjemah konsep Sukhvat dalam Buddhisme Mahayana tanah suci Buddha Amitabha . Ia juga pernah nali bagai Temple of Supreme Bliss , Temple of Pure Land , dan Heavenly Temple oleh lawat dan kaji luar negara . Sejarah Kuil ini asas pada tahun 1890 oleh Beow Lean , orang sami alir Chan dari Kuil Yongquan di Gunung Drum , Fuzhou , China . Tapak bina di Ayer Itam pilih kerana indah bentuk muka bumi serta lokasi yang hadap laut . Kawasan itu turut nali bagai Gunung Bangau kerana bentuk rupa burung bangau terbang . Kuil ini tubuh bagai cawangan luar negara rasmi kepada Kuil Yongquan anggap bagai Vatikan Buddha bagi alir Chan di Asia Tenggara . Bina kompleks biaya oleh lima hartawan Hakka muka iaitu Cheong Fatt Tze , Chang Yu Nan , Cheah Choon Seng , Tye Kee Yoon dan Chung Keng Kooi . Mereka turut lantik bagai naung utama projek kuil . Pada tahun 1904 , Maharaja Guangxu dari Dinasti Qing jemput Beow Lean ke istana dan hadiah 70 000 jilid kitab suci serta dua jubah kaisar . Baginda turut iktiraf Kek Lok Si bagai kuil utama Cina di negeri Selat . Pulang Beow Lean ke Pulau Pinang , beliau sambut dalam satu ara diraja dengan iring sami , pegawai dan masyarakat tempat . Bina Bangun Kuil Kek Lok Si letak di kaki bukit Air Itam , kira 3 kilometer dari Stesen Kereta Api Bukit Bendera . Ia bina di atas kawasan luas 12 1 hektar 30 ekar , hasil sumbang tanah oleh Yeoh Siew Beow . Kompleks ini diri daripada dewan sembahyang utama , pagoda , pavilion , kolam , taman , dan biara tempat tinggal para sami dan biarawati . Banyak unjung pasuk kompleks ini lalu lalu tangga yang naung bumbung , dengan deret kedai jual cenderamata dan barangan agama . Lawat akan lewat Kolam Bebas yang penuh penyu tradisi lepas penyu di sini percaya bawa pahala dalam ajar Buddha . Pekarang Pekarang kuil tempat taman kolam besar yang huni ikan kap dan kura . Dapat juga deret patung dewa-dewi , masuk Amitabha , Bodhisattva , dan Jaga Syurga Heavenly Kings dari tradisi Mahayana . Pagoda 10 000 Buddha Salah satu struktur paling ikonik di Kek Lok Si ialah Pagoda Ban Po Thar setinggi 30 meter . Ia nali bagai Pagoda 10 000 Buddha kerana kandung ribu patung kecil Buddha yang buat daripada gangsa dan batu pualam . Pagoda ini reka dengan tiga gaya seni bina Bahagian bawah bentuk oktagon Cina Tingkat tengah gaya Thai putih Kubah puncak stupa lap gaya Burma Pagoda ini bina antara 1915",Pagoda ini reka dengan tiga gaya seni bina Bahagian bawah bentuk oktagon Cina Tingkat tengah gaya Thai putih Kubah puncak stupa lap gaya Burma Pagoda ini bina antara 1915.
"Apa yang menarik di kuil sri maha mariamman, kuala lumpur?","kuil sri maha mariamman, kuala lumpur","Kuil Sri Mahamariamman Tamil , r Mriyamma Kvil adalah kuil Hindu tua di Kuala Lumpur , Malaysia . Asas pada tahun 1873 , ia letak di pinggir Chinatown di Jalan Bandar dahulu High Street . Kuil Sri Mahamariamman utama dedikasi kepada dewi Sri Mahamariamman , yang rupa manifestasi dewi Parvati dalam mitologi Hindu . Sejak tubuh , kuil ini sedia tempat ibadat yang penting untuk datang India awal dan kini rupa waris budaya dan nasional yang penting . Kuil ini urus oleh Lembaga Urus Kuil Sri Maha Mariamman Devasthanam . Sejarah Kuil Sri Mahamariamman asas oleh K . Thamboosamy Pillai pada tahun 1873 dan pada mula guna bagai kuil sendiri oleh keluarga Pillai . Pada akhir tahun 1920 - an , keluarga ini buka pintu kuil kepada orang awam dan akhir serah urus kuil kepada lembaga pegang amanah . Ini adalah kuil Hindu tua yang masih fungsi di Malaysia . Ia juga kenal bagai kuil kaya di negara ini . Kuil ini pada asal letak hampir dengan stesen kereta api Kuala Lumpur . Ia pindah ke lokasi yang sekarang di panjang Jalan Tun H S Lee bahan Jalan Petaling pada tahun 1885 . Struktur attap awal roboh pada tahun 1887 dan buah bangun batu bata diri bagai ganti . Struktur itu roboh untuk beri lalu kepada bangun kuil masa yang siap bina pada tahun 1968 . Pintu masuk yang kagum ke kuil , nali bagai gopuram , siap pada tahun 1972 . Kuil baru ini konsekrasi pada tahun 1973 . Kuil ini pernah jadi tempat bagi parti Kongres India Malaysia MIC bermesyuarat untuk bincang segala isu yang kait kaum India Malaysia pada awal tubuh . Senibina Senibina Kuil Sri Mahamariamman adalah contoh yang takjub gaya Seni bina Dravidia India Selatan . ciri utama kuil ini masuk Gopuram Menara Gerbang Gopuram lima tingkat kuil ini adalah salah satu ciri yang paling tonjol . Diri setinggi 23 meter 75 kaki , ia hias dengan ukir yang rumit dan perinci , gambar pelbagai dewa dan dewi dari mitologi Hindu . Vimana Menara Kuil Menara utama di atas garbhagriha ruang suci juga hias dengan patung dan ukir yang indah . Garbhagriha Ruang Suci Ruang suci utama di mana dewa utama , Sri Mahamariamman , tempat . Ia adalah tempat yang paling suci dalam kuil . Mandabam Dewan Utama Dewan utama ini guna untuk pelbagai upacara dan himpun . Ia hias dengan tiang yang ukir dengan seni yang halus . Patung dan Ukran Dapat banyak patung dan ukir dewa-dewi Hindu di seluruh kuil , yang tunjuk ahli senibina yang tinggi . Hias Dinding dan Siling Dinding dan siling kuil hias dengan lukis dan mural yang berwarna-warni , gambar cerita epik dari teks suci Hindu seperti Ramayana dan Mahabharata . Senibina Kuil Sri Mahamariamman bukan sahaja rupa lambang indah estetika tetapi juga tunjuk penting agama dan budaya dalam komuniti Hindu di Malaysia . Raya Kuil Sri Mahamariamman di Kuala Lumpur jadi tumpu utama masa pelbagai festival Hindu yang raya dengan penuh riah dan semangat . Thaipusam Tiap kali raya Thaipusam ada tiap tahun , kuil ini akan kunjung","Seni bina Dravidia yang indah, termasuk menara gopuram berukiran dewa-dewi Hindu serta mural berwarna-warni dari epik Ramayana dan Mahabharata."
"Apa aktiviti popular di kuil sri maha mariamman, kuala lumpur?","kuil sri maha mariamman, kuala lumpur","Kuil Sri Mahamariamman Tamil , r Mriyamma Kvil adalah kuil Hindu tua di Kuala Lumpur , Malaysia . Asas pada tahun 1873 , ia letak di pinggir Chinatown di Jalan Bandar dahulu High Street . Kuil Sri Mahamariamman utama dedikasi kepada dewi Sri Mahamariamman , yang rupa manifestasi dewi Parvati dalam mitologi Hindu . Sejak tubuh , kuil ini sedia tempat ibadat yang penting untuk datang India awal dan kini rupa waris budaya dan nasional yang penting . Kuil ini urus oleh Lembaga Urus Kuil Sri Maha Mariamman Devasthanam . Sejarah Kuil Sri Mahamariamman asas oleh K . Thamboosamy Pillai pada tahun 1873 dan pada mula guna bagai kuil sendiri oleh keluarga Pillai . Pada akhir tahun 1920 - an , keluarga ini buka pintu kuil kepada orang awam dan akhir serah urus kuil kepada lembaga pegang amanah . Ini adalah kuil Hindu tua yang masih fungsi di Malaysia . Ia juga kenal bagai kuil kaya di negara ini . Kuil ini pada asal letak hampir dengan stesen kereta api Kuala Lumpur . Ia pindah ke lokasi yang sekarang di panjang Jalan Tun H S Lee bahan Jalan Petaling pada tahun 1885 . Struktur attap awal roboh pada tahun 1887 dan buah bangun batu bata diri bagai ganti . Struktur itu roboh untuk beri lalu kepada bangun kuil masa yang siap bina pada tahun 1968 . Pintu masuk yang kagum ke kuil , nali bagai gopuram , siap pada tahun 1972 . Kuil baru ini konsekrasi pada tahun 1973 . Kuil ini pernah jadi tempat bagi parti Kongres India Malaysia MIC bermesyuarat untuk bincang segala isu yang kait kaum India Malaysia pada awal tubuh . Senibina Senibina Kuil Sri Mahamariamman adalah contoh yang takjub gaya Seni bina Dravidia India Selatan . ciri utama kuil ini masuk Gopuram Menara Gerbang Gopuram lima tingkat kuil ini adalah salah satu ciri yang paling tonjol . Diri setinggi 23 meter 75 kaki , ia hias dengan ukir yang rumit dan perinci , gambar pelbagai dewa dan dewi dari mitologi Hindu . Vimana Menara Kuil Menara utama di atas garbhagriha ruang suci juga hias dengan patung dan ukir yang indah . Garbhagriha Ruang Suci Ruang suci utama di mana dewa utama , Sri Mahamariamman , tempat . Ia adalah tempat yang paling suci dalam kuil . Mandabam Dewan Utama Dewan utama ini guna untuk pelbagai upacara dan himpun . Ia hias dengan tiang yang ukir dengan seni yang halus . Patung dan Ukran Dapat banyak patung dan ukir dewa-dewi Hindu di seluruh kuil , yang tunjuk ahli senibina yang tinggi . Hias Dinding dan Siling Dinding dan siling kuil hias dengan lukis dan mural yang berwarna-warni , gambar cerita epik dari teks suci Hindu seperti Ramayana dan Mahabharata . Senibina Kuil Sri Mahamariamman bukan sahaja rupa lambang indah estetika tetapi juga tunjuk penting agama dan budaya dalam komuniti Hindu di Malaysia . Raya Kuil Sri Mahamariamman di Kuala Lumpur jadi tumpu utama masa pelbagai festival Hindu yang raya dengan penuh riah dan semangat . Thaipusam Tiap kali raya Thaipusam ada tiap tahun , kuil ini akan kunjung","Melawat semasa Thaipusam, menyertai upacara keagamaan, dan mengambil gambar seni bina unik."
"Apa yang menarik di kuil sri maha mariamman, kuala lumpur?","kuil sri maha mariamman, kuala lumpur","Kuil Sri Mahamariamman Tamil , r Mriyamma Kvil adalah kuil Hindu tua di Kuala Lumpur , Malaysia . Asas pada tahun 1873 , ia letak di pinggir Chinatown di Jalan Bandar dahulu High Street . Kuil Sri Mahamariamman utama dedikasi kepada dewi Sri Mahamariamman , yang rupa manifestasi dewi Parvati dalam mitologi Hindu . Sejak tubuh , kuil ini sedia tempat ibadat yang penting untuk datang India awal dan kini rupa waris budaya dan nasional yang penting . Kuil ini urus oleh Lembaga Urus Kuil Sri Maha Mariamman Devasthanam . Sejarah Kuil Sri Mahamariamman asas oleh K . Thamboosamy Pillai pada tahun 1873 dan pada mula guna bagai kuil sendiri oleh keluarga Pillai . Pada akhir tahun 1920 - an , keluarga ini buka pintu kuil kepada orang awam dan akhir serah urus kuil kepada lembaga pegang amanah . Ini adalah kuil Hindu tua yang masih fungsi di Malaysia . Ia juga kenal bagai kuil kaya di negara ini . Kuil ini pada asal letak hampir dengan stesen kereta api Kuala Lumpur . Ia pindah ke lokasi yang sekarang di panjang Jalan Tun H S Lee bahan Jalan Petaling pada tahun 1885 . Struktur attap awal roboh pada tahun 1887 dan buah bangun batu bata diri bagai ganti . Struktur itu roboh untuk beri lalu kepada bangun kuil masa yang siap bina pada tahun 1968 . Pintu masuk yang kagum ke kuil , nali bagai gopuram , siap pada tahun 1972 . Kuil baru ini konsekrasi pada tahun 1973 . Kuil ini pernah jadi tempat bagi parti Kongres India Malaysia MIC bermesyuarat untuk bincang segala isu yang kait kaum India Malaysia pada awal tubuh . Senibina Senibina Kuil Sri Mahamariamman adalah contoh yang takjub gaya Seni bina Dravidia India Selatan . ciri utama kuil ini masuk Gopuram Menara Gerbang Gopuram lima tingkat kuil ini adalah salah satu ciri yang paling tonjol . Diri setinggi 23 meter 75 kaki , ia hias dengan ukir yang rumit dan perinci , gambar pelbagai dewa dan dewi dari mitologi Hindu . Vimana Menara Kuil Menara utama di atas garbhagriha ruang suci juga hias dengan patung dan ukir yang indah . Garbhagriha Ruang Suci Ruang suci utama di mana dewa utama , Sri Mahamariamman , tempat . Ia adalah tempat yang paling suci dalam kuil . Mandabam Dewan Utama Dewan utama ini guna untuk pelbagai upacara dan himpun . Ia hias dengan tiang yang ukir dengan seni yang halus . Patung dan Ukran Dapat banyak patung dan ukir dewa-dewi Hindu di seluruh kuil , yang tunjuk ahli senibina yang tinggi . Hias Dinding dan Siling Dinding dan siling kuil hias dengan lukis dan mural yang berwarna-warni , gambar cerita epik dari teks suci Hindu seperti Ramayana dan Mahabharata . Senibina Kuil Sri Mahamariamman bukan sahaja rupa lambang indah estetika tetapi juga tunjuk penting agama dan budaya dalam komuniti Hindu di Malaysia . Raya Kuil Sri Mahamariamman di Kuala Lumpur jadi tumpu utama masa pelbagai festival Hindu yang raya dengan penuh riah dan semangat . Thaipusam Tiap kali raya Thaipusam ada tiap tahun , kuil ini akan kunjung","Menikmati ukiran seni kuil, menyaksikan aktiviti keagamaan, dan memahami budaya Hindu tempatan."
Apa yang menarik di kundasang?,kundasang,"Kundasang , juga nali dalam bahasa Inggeris bagai Historical town of Kundasang atau kadangkala nali dari kalang orang tempat bagai Pekan Kundasang rupa buah pekan kecil yang paling hampir dengan Gunung Kinabalu dan jiran dengan Pekan Nabalu . Ia letak hanya 6 km dari Taman Negara Kinabalu . Cuaca yang segar serta pandang yang indah jadi alas utama ramai lancong datang kunjung ke Kundasang . Tani rupa sumber dapat yang utama kepada duduk di sini . Tidak hairanlah Kundasang rupa pusat beli belah sayur yang sangat kenal di daerah ini . Manakala lancong jadi sumber dapat dua penting bagi duduk di Kundasang . Demografi Majoriti Duduk Kundasang diri daripada suku kaum Dusun , Melayu , Orang Sungai , Bajau , Cina , namun dapat juga bilang daripada datang Indonesia yang diri daripada Bugis , Tator Tana Toraja , Timor , Jawa , yang mana telah jadi sebahagian kecil daripada sumbang bagi gerak ekonomi di sekitar Kundasang , utama di dalam sektor tani . Walaupun hanya buah pekan kecil , Kundasang juga sedia inap seperti Hotel , Motel , Chalet dan Homestay bagi beri selesa kepada lancong . Jantina Ikut rupa jumlah duduk sekitar Kundasang pada tahun 2010 ikut pecah jantina seperti ikut Pecah Kampung Dapat beberapa buah pecah kecil kampung yang dapat di Kundasang antara Sekolah Tari Lancong Lihat juga Pekan Ranau Pekan Nabalu Sabah Tea Kinabalu Park Air Panas Poring Rujuk","Pemandangan indah Gunung Kinabalu, cuaca sejuk, serta pusat beli sayur segar."
Mengapa kundasang menjadi tempat tarikan pelancong?,kundasang,"Kundasang , juga nali dalam bahasa Inggeris bagai Historical town of Kundasang atau kadangkala nali dari kalang orang tempat bagai Pekan Kundasang rupa buah pekan kecil yang paling hampir dengan Gunung Kinabalu dan jiran dengan Pekan Nabalu . Ia letak hanya 6 km dari Taman Negara Kinabalu . Cuaca yang segar serta pandang yang indah jadi alas utama ramai lancong datang kunjung ke Kundasang . Tani rupa sumber dapat yang utama kepada duduk di sini . Tidak hairanlah Kundasang rupa pusat beli belah sayur yang sangat kenal di daerah ini . Manakala lancong jadi sumber dapat dua penting bagi duduk di Kundasang . Demografi Majoriti Duduk Kundasang diri daripada suku kaum Dusun , Melayu , Orang Sungai , Bajau , Cina , namun dapat juga bilang daripada datang Indonesia yang diri daripada Bugis , Tator Tana Toraja , Timor , Jawa , yang mana telah jadi sebahagian kecil daripada sumbang bagi gerak ekonomi di sekitar Kundasang , utama di dalam sektor tani . Walaupun hanya buah pekan kecil , Kundasang juga sedia inap seperti Hotel , Motel , Chalet dan Homestay bagi beri selesa kepada lancong . Jantina Ikut rupa jumlah duduk sekitar Kundasang pada tahun 2010 ikut pecah jantina seperti ikut Pecah Kampung Dapat beberapa buah pecah kecil kampung yang dapat di Kundasang antara Sekolah Tari Lancong Lihat juga Pekan Ranau Pekan Nabalu Sabah Tea Kinabalu Park Air Panas Poring Rujuk","Kerana keindahan semula jadi, cuaca segar, dan kedudukan hampir dengan Taman Negara Kinabalu."
Apa aktiviti popular di kundasang?,kundasang,"Kundasang , juga nali dalam bahasa Inggeris bagai Historical town of Kundasang atau kadangkala nali dari kalang orang tempat bagai Pekan Kundasang rupa buah pekan kecil yang paling hampir dengan Gunung Kinabalu dan jiran dengan Pekan Nabalu . Ia letak hanya 6 km dari Taman Negara Kinabalu . Cuaca yang segar serta pandang yang indah jadi alas utama ramai lancong datang kunjung ke Kundasang . Tani rupa sumber dapat yang utama kepada duduk di sini . Tidak hairanlah Kundasang rupa pusat beli belah sayur yang sangat kenal di daerah ini . Manakala lancong jadi sumber dapat dua penting bagi duduk di Kundasang . Demografi Majoriti Duduk Kundasang diri daripada suku kaum Dusun , Melayu , Orang Sungai , Bajau , Cina , namun dapat juga bilang daripada datang Indonesia yang diri daripada Bugis , Tator Tana Toraja , Timor , Jawa , yang mana telah jadi sebahagian kecil daripada sumbang bagi gerak ekonomi di sekitar Kundasang , utama di dalam sektor tani . Walaupun hanya buah pekan kecil , Kundasang juga sedia inap seperti Hotel , Motel , Chalet dan Homestay bagi beri selesa kepada lancong . Jantina Ikut rupa jumlah duduk sekitar Kundasang pada tahun 2010 ikut pecah jantina seperti ikut Pecah Kampung Dapat beberapa buah pecah kecil kampung yang dapat di Kundasang antara Sekolah Tari Lancong Lihat juga Pekan Ranau Pekan Nabalu Sabah Tea Kinabalu Park Air Panas Poring Rujuk","Melawat ladang tenusu Desa Cattle, membeli hasil tani, dan menginap di chalethomestay."
Apa yang boleh dilakukan di ladang tenusu desa cattle?,ladang tenusu desa cattle,"Ladang Tenusu Desa Cattle ialah ladang tenusu yang letak di kaki Gunung Kinabalu di Kundasang , Sabah , Malaysia yang milik oleh Desa Cattle Sabah Sdn Bhd di mana banyak susu lembu dan produk tenusu di Sabah hasil . Ladang yang liput kawasan luas 199 hektar dan sering gelar bagai New Zealand Kecil Sabah dengan pandang pandang panorama geografi hampir lihat seperti di negara yang dua serta baka lembu Holstein Friesian yang diimport dari negara ini . Rujuk","Melihat lembu Holstein Friesian, membeli produk tenusu segar, dan menikmati pemandangan ala New Zealand."
Mengapa ladang tenusu desa cattle menjadi tempat tarikan pelancong?,ladang tenusu desa cattle,"Ladang Tenusu Desa Cattle ialah ladang tenusu yang letak di kaki Gunung Kinabalu di Kundasang , Sabah , Malaysia yang milik oleh Desa Cattle Sabah Sdn Bhd di mana banyak susu lembu dan produk tenusu di Sabah hasil . Ladang yang liput kawasan luas 199 hektar dan sering gelar bagai New Zealand Kecil Sabah dengan pandang pandang panorama geografi hampir lihat seperti di negara yang dua serta baka lembu Holstein Friesian yang diimport dari negara ini . Rujuk",Kerana landskapnya yang menyerupai New Zealand serta pengalaman pelancongan agro yang unik.
